абажур, абажурчик
паротеплоход, паротеплоходный
паротурбина, паротурбинный
пароход, пароходик
парсуна, парсунный
партеногенез, партеногенетический
партийный, партия
партитура, партитурный
парусина, парусиновый
парусинка, парусинковый
парфюмерия, парфюмерный
парцелла, парцелльный
парцеллярный, парцелляция
парча, парчовый
паскуда, паскудный
паслён, паслёновый
пасока, пасочный
пасочный, пасха
пастеризация, пастеризованный
пастила, пастилка, пастилочный, пастильный
пастух, пастушеский, пастуший
пастырский, пастырь
пасынковый, пасынок
пасьянс, пасьянсик
патефон, патефончик
патогенез, патогенетический
патриарх, патриарший
патриархальный, патриархат
патриот, патриотичный
патриотизм, патриотический
патрица, патричный
патролог, патрологический
патрон, патрональный, патрончик
патынки, патыночки
паужин, паужинный
пауза, паузный, паузочка
паук, паучий, паучок
пауперизм, пауперистический
паутина, паутинный
пах, паховой
пахарский, пахарь
пахитоса, пахитосный
пахота, пахотный
пахтальный, пахтание
пацан, пацанёнок, пацаний
пачеси, пачесный
пачечка, пачка
пачечный, пачка
пачулевый, пачули
пашина, пашинка, пашинный
паяльный, паяние
паясничание, паяснический
певг, певговый
певица, певичка
певческий, певчий
педагог, педагогический
педант, педантический, педантичный
педикулёз, педикулёзный
пежина, пежинка, пежинный
пейджер, пейджерный
пейзаж, пейзажик, пейзажистский
пейсики, пейсы
пек, пековый
пекан, пекановый
пекарный, пекарня
пекарский, пекарь
пеклеванник, пеклеванничек
пекушечка, пекушка
пеленгатор, пеленгаторный
пеликан, пеликановый
пельмени, пельменный, пельмешки
пельменчик, пельмень
пелёнка, пелёночка, пелёночный
пенка, пеночка
пенкоснимательский, пенкоснимательство
пень, пенёк, пёнышек, пнёвый
пенькопрядение, пенькопрядильный
пенёк, пенёчек
пепел, пепелок
первозимный, первозимье
первосвященник, первосвященнический
перебаллотировка, перебаллотировочный
перебор, переборчик
перевал, перевальчик
перевалка, перевалочка
перевес, перевесный
переводческий, переводчик
перевоз, перевознический, перевозочный
перевозчик, перевозчицкий
перевыборный, перевыборы
перевязка, перевязочка
переговорный, переговоры
перегонка, перегонный
перегородка, перегородочка
передаточный, передача
передача, передачка
передир, передирный
передковый, передок
передопрос, передопросный
передышечка, передышка
перекалка, перекальный
перекат, перекатец
перекачечный, перекачка
перекладина, перекладинка
переключатель, переключательный
перекопка, перекопочный
перекос, перекосный
перелесок, перелесочек
переливка, переливочный
переливный, переливы
перелой, перелойный
перемычка, перемычный
перемёт, перемётный
перепел, перепелиный
переплёт, переплётик, переплётный
перепой, перепойный
перепонка, перепоночка
переправа, переправочный
перепродажа, перепродажный
перепёлка, перепёлочка
пересмешечка, пересмешка
перестой, перестойный
перестроечный, перестройка
пересыпка, пересыпочка
переулок, переулочек
переучёт, переучётный
перец, перечный, перцовый
перечень, перечневый
перешеек, перешеечек
перила, перильный, перильца
перилла, перилловый
периметр, периметрический
перипатетизм, перипатетический
перископ, перископический
периферийный, периферия
перифраза, перифрастический
перкалевый, перкаль
перо, перовой, пёрышко
персик, персичек
персона, персональный
перстень, перстенёк, перстневый
перстный, персть
перхота, перхотный
перчатка, перчаточка
першерон, першеронский
песенный, песня
песец, песцовый
пескарий, пескарь
пескарик, пескарь
пескариный, пескарь
песок, песчаный
пессимизм, пессимистический
пест, пестик, пестовый
пестицидный, пестициды
пестрина, пестринка
пестрядь, пестрядёвый
петарда, петардный
петельный, петля
петит, петитный
петлица, петличка
петрушечка, петрушка
петрушечный, петрушка
петух, петушок
пехотинец, пехотинский
печатный, печать
печенеги, печенежский
печень, печёночный
печенье, печеньице
печечка, печка
печёнка, печёночка
печёночники, печёночный
пешечка, пешка
пешечный, пешка
пещера, пещерка
пианист, пианистический
пивной, пиво
пивнуха, пивнушка
пиджак, пиджачок
пиетизм, пиетистический
пижама, пижамный
пиит, пиитический
пике, пикейный
пики, пиковый
пикник, пикнический, пикничок
пикулька, пикуля
пилка, пилочка
пилот, пилотский
пилотка, пилоточка
пилюлька, пилюля
пилюльный, пилюля
пилястра, пилястровый
пир, пирный, пирок
пирамида, пирамидный
пирог, пироговый, пирожный
пироманический, пиромания
пиршественный, пиршество
писарский, писарь
писарь, писарёк, писарёнок
писец, писцовый
писсуар, писсуарный
пистолет, пистолетик
пистоль, пистольный
писулечка, писулька
письмецо, письмо
письмоводный, письмоводство
питейный, питьё
питомник, питомничек
пифагореизм, пифагорейский
пичужечка, пичужка
пища, пищевой
пиявка, пиявочка
плавневый, плавни
плавник, плавничок
плазма, плазматический
план, планчик
планеризм, планёрный
планета, планетарный, планетный
планетарий, планетарный
планиметр, планиметрический
планисфера, планисферный
планка, планочка
пласт, пластик
пластина, пластинный
пластинка, пластиночка
плательный, платье
платинотипия, платинотипный
платонизм, платонический
платформа, платформенный
платье, платяной
платёж, платёжный
плаун, плауновый
плафон, плафончик
плаха, плашка
плахта, плахтовый
плац, плац-парадный
плацента, плацентарный
плацкарта, плацкартный
плащ, плащик
плевел, плевельный
плевра, плевральный
плеоназм, плеонастический
плесень, плесневой
плетейный, плетение
плетение, плетёный
плетень, плетешок, плетнёвый
плешина, плешинка
плешка, плешь
плита, плиточный
плитка, плиточка
плод, плодик
плодоводство, плодоводческий
пломба, пломбовый
плот, плотовой
плотвица, плотвичка
плотина, плотинка
плотица, плотичка
плотник, плотничек, плотничий
плотский, плоть
плошечка, плошка
плошечный, плошка
площадка, площадочка
плуг, плуговой, плужный
плугарский, плугарь
плут, плутишка, плутовской
плутон, плутонический
плутонизм, плутонистский
плюмаж, плюмажный
плюрализм, плюралистический
плюсна, плюсневой
плюсование, плюсовый
плющ, плющевой
пляж, пляжик
пляска, плясовой
плёнка, плёночка, плёночный
плётка, плёточка, плёточный
пневмоторакс, пневмотораксный
повестка, повесточка
повестушка, повесть
повивальный, повивание
повод, поводковый
повозка, повозочка
повойник, повойничек
повольник, повольничек
повстанец, повстанческий
повязка, повязочка, повязочный
поговорка, поговорочка
погон, погончик
погорелец, погорельческий
под, подовый
подагра, подагрический
подаяние, подаянный
подбоечный, подбой
подбой, подбойный
подвал, подвальчик
подвес, подвесковый
подвид, подвидовой
подвода, подводка
подвой, подвойный
подголосок, подголосочный
подгонка, подгоночный
подготовка, подготовочный
подгузник, подгузничек
подданичество, подданнический
поддон, поддоночный
поддувало, поддувальный, поддувальце
поддёвка, поддёвочный
поделка, поделочка
поджимание, поджимный
подзатыльник, подзатыльничек
подземелье, подземельный
подзол, подзольный
подзолообразование, подзолообразовательный
подклетный, подклеть
подковырка, подковырочка
подкорм, подкормочный
подкос, подкосный
подкрапивник, подкрапивничек
подкулачник, подкулачный
подлесок, подлесочный
подлеток, подлеточек
подлец, подлецкий
подливка, подливочка
подмазка, подмазочка
подметала, подметальный
подмёт, подмётный
подмётка, подмёточка, подмёточный
поднос, подносик
подносный, подношение
подогревание, подогревательный
подорожник, подорожничек
подпалина, подпалинка
подпилковый, подпилок
подписка, подписной, подписочка
подполковник, подполковничий
подпояска, подпоясочка
подпрапорщик, подпрапорщичий
подпруга, подпружный
подростковый, подросток
подрубка, подрубочный
подряд, подрядческий
подсадка, подсадный, подсадочный
подсечка, подсечный
подсолнух, подсолнушек
подсоха, подсошка
подсочка, подсочный
подставка, подставочка
подстановка, подстановочный
подстилка, подстилочка
подтвердительный, подтверждение
подтопка, подтопочный
подтяжечный, подтяжки
подушечный, подушка
подъём, подъёмный
подьяческий, подьячий
поединок, поединочный
пожар, пожарный
пожнивный, пожниво
пожог, пожоговый
позвонок, позвоночек
позвоночник, позвоночный
позитивизм, позитивный
познавание, познавательный
позумент, позументик
позём, позёмный
показатель, показательский
покаяние, покаянный
поклёп, поклёпный
покоец, покой
покой, покойный
покойник, покойницкий
поколение, поколенный
покров, покровный
покровитель, покровительственный
покрывало, покрывальце
покрышечный, покрышка
покупка, покупочка
пола, полка, полочка
полдень, полдневный
поле, полевой, полюшко
полевод, полеводческий
полено, поленце, полешко
ползун, ползунок
полив, поливочный
полигамия, полигамный
полиглот, полиглотный
полигон, полигональный
полиграфист, полиграфический
полимерный, полимеры
политеизм, политеистический
политипаж, политипажный
политональность, политональный
политура, политурный
полихромия, полихромный
полицеймейстер, полицеймейстерский
полка, полольный
полководец, полководческий
полнолуние, полнолунный
половодный, половодье
положение, положеньице
полоз, полозок
полоняник, полоняничный
полоскание, полоскательный
полосовальный, полосование
полосушка, полосущатый
полотенечный, полотенце
полтина, полтинка
полтинник, полтинничек
полувал, полувальный
полуколониальный, полуколония
полукустарник, полукустарниковый
полуподвал, полуподвальный
полупустынный, полупустыня
полусфера, полусферический
полуфинал, полуфинальный
полушалок, полушалочек
полушечка, полушка
полушечный, полушка
полушубок, полушубочек
поляна, поляночка, полянушка
поляроид, поляроидный
полёт, полётный
помада, помадный
помадка, помадный
померанец, померанцевый
поместный, поместье
поместье, поместьице
пометка, пометочка
помещение, помещеньице
помещик, помещичек, помещичий
помидор, помидорчик
помидорина, помидорка
поминовение, поминовенный
помои, помойный
помол, помольный
поморский, поморье
помост, помостик
помощник, помощничек
помощный, помощь
понизовый, понизовье
пониток, пониточный
пономарский, пономарь
понюшечка, понюшка
поп, попик, поповский
поповец, поповский
поправка, поправочка
попрошайка, попрошайнический
попса, попсовый
попугай, попугайский
популяризаторский, популяризация
порнограф, порнографический
порослевый, поросль
поросячий, поросёнок
порошок, порошочек
портки, порточки, портчишки
портновский, портной
портняжеский, портняжество
портплед, портпледный
портрет, портретик
портсигар, портсигарчик
портупейный, портупея
портфелик, портфель
портфель, портфельчик
портьера, портьерка
портянка, портяночка
поручение, порученьице
поручик, поручичий
поршень, поршневой
поселковый, посёлок
поселянин, поселянский
посконина, посконный
послед, последовый
пословица, пословичный
посол, посолочный, посольский
посох, посошок
поставец, поставцовый
постельник, постельничий
постилка, постилочка
постой, постоялый
пострел, пострелёнок
построечка, постройка
построечный, постройка
поступок, поступочек
посудина, посудинка
пот, потовой
потеха, потешка
потомственный, потомство
потоп, потопный
потёмки, потёмочки
похвала, похвальный
похлёбка, похлёбочка
похмелье, похмельный
початок, початочек, початочный
почечка, почка
почечный, почки
починка, починочка
почта, почтовый
почтальон, почтальонный
почтарский, почтарь
почёт, почётный
пошехонец, пошехонский
пошив, пошивочный
поэзия, поэтический
поэма, поэмка
поэт, поэтик
поярковый, поярок
пояс, поясок
поясковый, поясок
правило, правильный
правитель, правительский
правительственный, правительство
правка, правочный
правление, правленческий
правнук, правнучек
право, правовой
правонарушитель, правонарушительский
правописание, правописный
православие, православный
прагматизм, прагматичный
прагматика, прагматический
прадед, прадедовский
праисторический, праистория
праотец, праотеческий
праотцовский, праотцы
прапорщик, прапорщицкий
прапрадед, прапрадедовский
прасол, прасольский
пратикабельный, пратикабль
праща, пращевой
праязык, праязыковой
предбанник, предбанничек
предгорный, предгорье
предикат, предикативный
предисловие, предисловный
предкамера, предкамерный
предковский, предок
предплечевой, предплечье
предплюсна, предплюсневой
предсказание, предсказательный
предысторический, предыстория
преемник, преемнический
презентационный, презентация
презерватив, презервативный
презервный, презервы
президент, президентский
преисподний, преисподняя
прекарий, прекарный
прекос, прекосовый
прелюбодейный, прелюбодеяние
прелюд, прелюдик
премиальный, премия
препарат, препаровальный
препарировка, препарировочный
препаровка, препаровочный
препринт, препринтный
прессшпан, прессшпановый
престидижитатор, престидижитаторский
претензия, претенциозный
претор, преторский
преторианец, преторианский
префектура, префектурный
преференциальный, преференция
префикс, префиксальный
преципитат, преципитатный
прибавка, прибавочка
прибаутка, прибауточка, прибауточный
прибойник, прибойный
прибор, приборный, приборчик
приварка, приварной
приват, приват-доцентский
приватизационный, приватизацияи
приветственный, приветствие
прививок, прививочек
привилегированный, привилегия
привой, привойный
приговор, приговорный
пригород, пригородский
пригорок, пригорочек
пригудка, пригудочка
придел, придельный
придумка, придумочка
приживал, приживальческий
призма, призматический, призмочка
призыв, призывный
приискатель, приискательский
приказ, приказательный
приказчик, приказчичий
приключения, приключенческий
прикопка, прикопочный
прилавок, прилавочек
применение, применительный
пример, примерчик
примирение, примирительный
принтер, принтерный
принуждение, принуждённый
приобретательный, приобретение
приоритет, приоритетный
припадок, припадочек
припарка, припарочка
припевка, припевочка
приписка, приписочка
приполок, приполочек
приправа, приправочный
припрыжечка, припрыжка
припряжка, припряжной
прирезание, прирезной
присказка, присказочка
прискорбие, прискорбный
присловье, присловьице
присоска, присосковый
приспешник, приспешный
приспособительный, приспособление
пристанный, пристань
пристановка, пристановочный
пристанский, пристань
пристроечка, пристройка
приступка, приступочка
приступок, приступочек, приступочный
присутственный, присутствие
присяга, присяжный
присёлок, присёлочек
притон, притончик
приточка, приточный
приточный, притча
приусадебный, усадьба
прицветник, прицветный
прицел, прицельный
прицеп, прицепочный
причастие, причастный
причет, причетный
приём, приёмный
приёмка, приёмочный
приёмыш, приёмышек
пробел, пробельный
пробеливание, пробельный
пробка, пробочка
проблема, проблематический
пробой, пробойчик
пробор, проборчик
провинциальный, провинция
прогалина, прогалинка
прогалок, прогалочек
прогресс, прогрессивный
прогул, прогульный
прогулка, прогулочка
продажа, продажный
продел, продельный
продовольственный, продовольствие
продувание, продувательный
продушина, продушинка
проективный, проекция
проектировальный, проектирование
прожектёрский, прожектёрство
прожигатель, прожигательский
прожилка, прожилочка
проза, прозаический
пройма, проймочка
прокажённый, проказа
проказа, проказливый
прокладка, прокладочка
проколка, проколочный
проконсул, проконсульский
прокос, прокосный
проктологический, проктология
пролетарий, пролетарский
пролеткульт, пролеткультовский
пролив, проливчик
пролысина, пролысинка
пролювиальный, пролювий
пролёт, пролётный
пролётка, пролёточка, пролёточный
промер, промерный
прометеевский, прометей
промтоварный, промтовары
промывание, промывательный
промышленность, промышленный
пропаганда, пропагандистский
пропинационный, пропинация
прописка, прописной
проплешина, проплешинка
проповедный, проповедь
пропой, пропойский
прораб, прорабовский
прореха, прорешка
пророчественный, пророчество
просадка, просадочный
просветительный, просвещение
просвещение, просвещенческий
просвира, просвирный
просвирник, просвирниковый
просвирняк, просвирняковый
просек, просечный
просечка, просечный
проскомидийный, проскомидия
прослоечка, прослойка
просо, просовый
простак, простачок
простодушие, простодушный
простокваша, простоквашный
просторечие, просторечный
пространственный, пространство
проступок, проступочек
простынный, простыня
простяк, простячок
просфора, просфорный
просьба, просьбица, просьбишка
просёлок, просёлочный
протектор, протекторный
протестантизм, протестантский
протока, проточка
протокол, протокольчик
протоплазма, протоплазматический
протрава, протравной, протравочный
проулок, проулочек
профессионалист, профессионалистский
профессиональный, профессия
проход, проходец
проходка, проходческий
процесс, процессуальный
прочистка, прочистной
прошение, прошеньице
прощальный, прощение
прощение, прощёный
проявительный, проявление
проявление, проявочный
проём, проёмный
пруд, прудок
пружина, пружинка
пруток, пруточек
прыгание, прыгательный
прыгунский, прыгуны
прядение, пряденый
прядка, прядочка
пряжечка, пряжка
пряжечный, пряжка
прямоугольник, прямоугольничек
прясельный, прясло
псалом, псаломский
псаммитовый, псаммиты
псарный, псарня
псарский, псарь
псевдогаллюцинаторный, псевдогаллюцинация
псевдонаука, псевдонаучный
псевдоним, псевдонимный
псевдоромантизм, псевдоромантический
псевдотуберкулёз, псевдотуберкулёзный
псиный, пёс
психоанализ, психоаналитический
психогенический, психогения
психоз, психотический
психологизм, психологистический
психометрия, психрометрический
психоневрологический, психоневрология
псовый, пёс
птаха, пташка
птенец, птенцовый
птица, птичий
птицеводство, птицеводческий
птицеловный, птицеловство
пуговка, пуговочка
пудра, пудровый
пузан, пузанок, пузанчик
пузырчатка, пузырчатковый
пузырчатый, пузырь
пузырь, пузырёк
пук, пучок
пулевой, пуля
пулемёт, пулемётик, пулемётный
пульверизатор, пульверизаторный
пульверизационный, пульверизация
пульный, пуля
пульпа, пульпарный
пульповод, пульповодный
пульсатор, пульсаторный
пунец, пунцовый
пункт, пунктик
пунш, пуншевый
пунька, пуня
пупавка, пупавковый
пупковый, пупок
пуповина, пуповинный
пуриновый, пурины
пустельга, пустельговый
пустопоместный, пустопоместье
пустословие, пустословный
пустошка, пустошь
пустошный, пустошь
пустула, пустулёзный
пустынный, пустынь
пустынский, пустынь
пустынь, пустынька
пустырь, пустырёк
пустяк, пустяковинный, пустячок
путевой, путь
путеец, путейский
путешественный, путешествие
путина, путинный
путо, путовой
путч, путчистский
пуф, пуфик
пухляк, пухлячок
пуховка, пуховочка
пучок, пучочек
пушение, пушильный
пушечка, пушка
пушица, пушицевый
пчела, пчелиный, пчёлка
пчеловодство, пчеловодческий
пшат, пшатовый
пшеничка, пшеничковый
пшено, пшённый
пыжьян, пыжьяновый
пылевой, пыль
пылесос, пылесосный
пыль, пыльца
пыльник, пыльниковый
пыльца, пыльцевой
пырей, пырейный
пышечка, пышка
пышечный, пышка
пьеса, пьеска
пястка, пясть
пястный, пясть
пята, пятовый
пятка, пяточка
пятёрка, пятёрочка
пёс, пёсий, пёсик
раб, рабский
раби, рабий
рабовладельческий, рабовладельчество
раболепие, раболепный
работа, работка, рабочий
работник, работничий
рабфак, рабфаковский
равендук, равендучный
равенственный, равенство
равнина, равнинка, равнинный
равновесие, равновесный
радельный, радение
радиан, радианный
радикализм, радикальный
радиотелеграфия, радиотелеграфный
радушие, радушный
раз, разик
разбой, разбойничий
разборка, разборочный
разбраковка, разбраковочный
разброд, разбродный
развалюха, развалюшка
разведывание, разведывательный
развилина, развилинка
развилка, развилочка
разводка, разводочный
развоз, развозный
развёрстка, развёрсточный
разгибатель, разгибательный
разговор, разговорчик
разгонка, разгоночный
разграничение, разграничительный
разгул, разгульный
раздаточный, раздача
раздел, раздельный
раздой, раздойный
раздолье, раздольице, раздольный
раздор, раздорный
раздувальный, раздувание
разлад, разладный
разлетай, разлетайчик
разлука, разлучный
разминка, разминочный
размол, размольный
размоли, размолочный
размывание, размывной
разноска, разносный
разночинец, разночинный
разрубка, разрубочный
рак, рачий, рачишка, рачок
ракита, ракитка, ракитовый
раковина, раковинка, раковинный
ракурс, ракурсный
ракушечник, ракушечный
ракушка, ракушковый
рамка, рамочка
рана, раневой
рапира, рапирный
рапсодический, рапсодия
раса, расовый
раскатный, раскаты
раскол, раскольнический, раскольный
раскомандировка, раскомандировочный
раскос, раскосный
распашонка, распашоночка
распил, распиловочный
расписка, расписочка
расплата, расплатный
распор, распорный
распорядительный, распоряжение
расправа, расправный
распродажа, распродажный
распутник, распутный
распялка, распялочка
рассада, рассадный
рассказ, рассказец
рассол, рассолец
рассольник, рассольничек
расспрос, расспросный
расстание, расстанный
расстановка, расстановочный
расстояние, расстояньице
рассылка, рассыльный
растение, растеньице
растениеводство, растениеводческий
растирание, растирочный
расточка, расточный
расчёска, расчёсочка
расчёт, расчётный
расширение, расширительный
расшлихтовка, расшлихтовочный
ратник, ратнический
ратоборный, ратоборство
ратуша, ратушный
раус, раусный
рафинирование, рафинёрный
рахит, рахитический
рационализм, рационалистический, рационалистичный, рациональный
рашпиль, рашпильный
раёк, раёшный
реализационный, реализация
реализм, реалистический, реалистичный
ребро, рёберный, ребровый, рёбрышко
ребус, ребусный
ребяческий, ребёнок
ревенный, ревень
ревень, ревенёк
реверанс, реверансный
реверс, реверсивный
ревизионистский, ревизия
ревком, ревкомовский
ревматизм, ревматический
револьвер, револьверчик
регенеративный, регенерация
регенерационный, регенерация
регион, региональный
регистратура, регистратурный
регресс, регрессивный
регулятор, регуляторный
редечка, редька
редечный, редька
редина, рединный
редиска, редисочка
редуктор, редукторный
редупликация, редуплицированный
реечный, рейка
режиссёр, режиссёрский
резвун, резвунчик
резеда, резедовый
резервуар, резервуарный
резец, резцовый
резонатор, резонаторный
резонёр, резонёрский
результат, результативный
резчик, резчицкий
рейтузный, рейтузы
рейхсканцлер, рейхсканцлерский
река, речечка
реквизит, реквизитный
реконверсионный, реконверсия
реконструктивный, реконструкция
рекуперативный, рекуперация
реле, релейный
религиозный, религия
рельсовый, рельсы
ремарка, ремарочный
ремень, ремённый
ремиссионный, ремиссия
ренессанс, ренессансный
репа, репка
репей, репеёк
репортёр, репортёрский
репрессивный, репрессия
репринт, репринтный
рептилии, рептильный
ресницы, ресничный
реснички, ресничный
респираторный, респирация
респондент, респондентский
республика, республиканский
реставраторский, реставрация
ресторан, ресторанчик
ретирада, ретирадный
ретранслятор, ретрансляторный
ретроградский, ретроградство
реферат, реферативный
рефлекс, рефлективный
реформа, реформаторский
реформационный, реформация
рефрактор, рефракторный
рецензийка, рецензия
рецепт, рецептный
рецептор, рецепторный
рецидивист, рецидивистский
речевой, речь
решето, решётный, решетцо
решётка, решёточка, решёточный, решётчатый
ржавчина, ржавчинка, ржавый
ржаной, рожь
ригель, ригельный
ригоризм, ригористичный
ридикюль, ридикюльный, ридикюльчик
риза, ризный
ризоидный, ризоиды
ринопластика, ринопластический
рисовальный, рисование
рисоводство, рисоводческий
рисунок, рисуночек
ритм, ритмический
рифли, рифлёный
рифма, рифменный, рифмочка
рихтовальный, рихтование
рициновый, рицинус
ров, ровик
ровница, ровничный
ровнюшка, ровня
рог, рожок
рогатина, рогатинка
рогатка, рогаточный
роголистник, роголистниковый
рогулечка, рогулька
род, родовой
родиевый, родий
родители, родительский
родник, родничок
родовой, роды
рододендровый, рододендрон
родословие, родословный
родственный, родство
роевой, рой
рожа, рожистый
рождественский, рождество
рожок, рожочек
розга, розговый
рой, роёк, ройный
рокада, рокадный
рокер, рокерский
рокот, рокотный
рол, ролевой, ролик, рольный
ролики, роликовый
роль, ролька
роман, романический, романный, романчик
романс, романсик, романсный
романтизм, романтический, романтичный
ромашка, ромашковый
ромб, ромбический
ромбоид, ромбоидальный
ромбоэдр, ромбоэдрический
роса, росистый, росяной
росомаха, росомаший
россыпный, россыпь
рост, ростовой
ростверк, ростверковый
ростепель, ростепельный
ростерный, ростры
ростковый, росток
росток, росточек
ростомер, ростомерный
ростра, ростральный
росчерк, росчерковый
росянка, росянковый
рот, ротишко, роток, ртишко
ротапринт, ротапринтный
ротмистр, ротмистрский
ротозей, ротозейный
роток, роточек
роульс, роульсовый
роялишка, рояль
рубанок, рубаночек, рубаночный
рубашечка, рубашка
рубашка, рубашонка
рубец, рубцовый, рубчатый
рубин, рубинчик
рублик, рубль
рубрикационный, рубрикация
рубчатый, рубчик
рубчик, рубчиковый
руга, ружный
ругань, ругательный
рудимент, рудиментарный
рудник, рудничный
рудяк, рудяковый
ружейный, ружьё
ружьецо, ружьё
ружьишко, ружьё
руинный, руины
рука, ручка, ручной
рукавица, рукавичный
рукописный, рукопись
рулевой, руль
рулетка, рулеточка
рулёжка, рулёжный
